Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio,ExecutionTime_ms
CBO,100,42,52577858053.5275,1.0277,221
LSCBO-Fixed,100,42,45189886622.4000,1.0127,122
HHO,100,42,44253638876.6387,1.0163,109
AOA,100,42,33506948656.5960,1.1985,77
GTO,100,42,33809757637.0496,1.0078,75
CBO,100,123,70712519440.4367,1.5202,67
LSCBO-Fixed,100,123,37820462369.9096,0.7140,86
HHO,100,123,38728889433.2011,0.8448,68
AOA,100,123,95005369410.4307,1.6098,42
GTO,100,123,53486284633.0040,1.1562,43
CBO,100,456,90994664278.3521,1.1903,50
LSCBO-Fixed,100,456,35048814127.8308,0.7479,69
HHO,100,456,38435354039.8131,0.9869,51
AOA,100,456,174005012909.4280,2.1373,41
GTO,100,456,49191318012.4885,0.9483,35
CBO,100,789,51329527572.2600,1.1933,30
LSCBO-Fixed,100,789,34746005093.8539,0.6449,68
HHO,100,789,37508379980.3997,1.1596,47
AOA,100,789,112827948462.0080,1.6982,40
GTO,100,789,32579974653.6212,0.9871,37
CBO,100,1024,42721046979.6060,1.2276,32
LSCBO-Fixed,100,1024,30726026497.7749,0.8672,61
HHO,100,1024,49787662171.4771,1.2594,45
AOA,100,1024,127273261056.7316,2.3066,36
GTO,100,1024,43023856000.3880,1.2779,36
CBO,500,42,30763121801.6755,1.1921,653
LSCBO-Fixed,500,42,79018191570.7051,1.8092,750
HHO,500,42,153778511717.1234,3.0827,776
AOA,500,42,31652999887.4453,1.8803,739
GTO,500,42,52531487334.6240,1.8211,721
CBO,500,123,75566733637.7032,1.7662,655
LSCBO-Fixed,500,123,55349507309.3799,1.8938,852
HHO,500,123,18712456565.5660,1.4061,782
AOA,500,123,94958997345.4013,2.9491,882
GTO,500,123,79935891898.0524,2.2686,777
CBO,500,456,27688664738.2660,1.4781,756
LSCBO-Fixed,500,456,120500180964.7680,2.4294,942
HHO,500,456,83937323418.4404,1.8580,843
AOA,500,456,106688308079.3584,3.1242,736
GTO,500,456,60855707881.6510,1.8442,837
CBO,500,789,34084743302.9290,1.7289,675
LSCBO-Fixed,500,789,132220214952.3667,2.6375,793
HHO,500,789,56570015913.9893,1.9218,692
AOA,500,789,54101175619.5000,2.0938,754
GTO,500,789,117994244515.8467,3.0603,696
CBO,500,1024,31992905225.2720,1.4928,627
LSCBO-Fixed,500,1024,86396889063.7113,1.8823,820
HHO,500,1024,532835919217.8600,7.6829,760
AOA,500,1024,34452471060.6702,1.2843,678
GTO,500,1024,79917343398.5993,2.0126,655
CBO,1000,42,47365192054.5783,1.6630,2011
LSCBO-Fixed,1000,42,69152105533.4273,2.0379,2531
HHO,1000,42,125703573111.9061,2.6936,1987
AOA,1000,42,33837579731.5904,1.8107,2141
GTO,1000,42,47365192054.5783,1.6630,2083
CBO,1000,123,38095449171.9037,1.5876,2127
LSCBO-Fixed,1000,123,94711835930.3020,2.5760,2373
HHO,1000,123,59653747699.2000,1.9312,2428
AOA,1000,123,42455335275.8980,2.0078,1996
GTO,1000,123,33469851138.0190,2.0090,2384
CBO,1000,456,40848546591.2657,1.8181,2414
LSCBO-Fixed,1000,456,132210940925.4323,3.0642,2313
HHO,1000,456,26449608226.5567,1.7467,2194
AOA,1000,456,33176316795.8020,2.0807,2295
GTO,1000,456,34084741909.0240,2.2036,2341
CBO,1000,789,26091152776.1710,1.9284,2131
LSCBO-Fixed,1000,789,92499433696.3083,1.9090,2159
HHO,1000,789,25266198297.4507,1.8966,2364
AOA,1000,789,132210941389.9003,2.8384,2431
GTO,1000,789,23631586881.6773,1.8021,2337
CBO,1000,1024,32286440289.9580,1.8723,2430
LSCBO-Fixed,1000,1024,183293303518.7267,3.2578,2406
HHO,1000,1024,25476261513.4533,1.9349,2314
AOA,1000,1024,44905627655.7890,2.0854,2540
GTO,1000,1024,51338801305.2963,1.7711,2354
CBO,2000,42,23384425767.7556,2.0853,5396
LSCBO-Fixed,2000,42,222488693806.9853,5.0249,6119
HHO,2000,42,32258616460.9813,2.0326,5440
AOA,2000,42,23384425767.7556,2.0853,5513
GTO,2000,42,120500179374.9207,2.8003,5812
CBO,2000,123,45786229010.0253,2.0765,6012
LSCBO-Fixed,2000,123,340337792497.6267,7.8823,5991
HHO,2000,123,131274692551.9653,3.3125,5285
AOA,2000,123,25843992349.9813,2.1461,5311
GTO,2000,123,33259786607.8647,2.0130,5221
CBO,2000,456,58312671621.7300,2.0950,5446
LSCBO-Fixed,2000,456,139892447834.5853,3.6208,5677
HHO,2000,456,28927722249.3920,1.7056,4869
AOA,2000,456,44942725287.6473,1.9502,5497
GTO,2000,456,23384425038.0928,1.7864,4869
CBO,2000,789,60277914176.0460,2.5193,5437
LSCBO-Fixed,2000,789,223224154046.1193,4.4557,5930
HHO,2000,789,58065509359.8353,2.2273,5575
AOA,2000,789,23300953431.1973,2.1710,5445
GTO,2000,789,36334247627.8907,2.1644,5381
CBO,2000,1024,21786912602.4893,1.7948,4861
LSCBO-Fixed,2000,1024,293321781732.2933,7.8651,5835
HHO,2000,1024,101126461456.2020,2.8198,5552
AOA,2000,1024,21786912602.4893,1.7948,4993
GTO,2000,1024,21786912602.4893,1.7948,5012
